GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpaPetProjeto,com.ada.SpaPetProjeto.utils,TypeConvert,3,62,0,2,1,16,1,4,1,3
SpaPetProjeto,com.ada.SpaPetProjeto.utils,CustomerConvert,3,48,0,0,1,14,1,3,1,3
SpaPetProjeto,com.ada.SpaPetProjeto.utils,Validator,13,0,0,0,3,0,3,0,3,0
SpaPetProjeto,com.ada.SpaPetProjeto.utils,OrderConvert,60,12,1,1,17,3,4,1,3,1
SpaPetProjeto,com.ada.SpaPetProjeto.utils,PetConvert,0,68,0,2,0,18,0,5,0,4
SpaPetProjeto,com.ada.SpaPetProjeto,SpaPetProjetoApplication,5,3,0,0,2,1,1,1,1,1
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,OrderResponse,12,34,0,0,0,7,3,7,3,7
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,LoginRequest,17,0,0,0,4,0,5,0,5,0
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,OrderRequest,15,21,0,0,2,4,2,6,2,6
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,TypeResponse,9,15,0,0,3,2,3,4,3,4
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,CustomerResponse,0,36,0,0,0,6,0,8,0,8
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,PetRequest,16,27,0,0,1,5,4,5,4,5
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,PetResponse,0,36,0,0,0,6,0,8,0,8
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,TokenResponse,6,0,0,0,1,0,1,0,1,0
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,TypeRequest,4,27,0,0,0,6,1,8,1,8
SpaPetProjeto,com.ada.SpaPetProjeto.controller.dto,CustomerRequest,12,21,0,0,1,4,3,4,3,4
SpaPetProjeto,com.ada.SpaPetProjeto.controller.configuration,ControllerAdvice,36,3,0,0,9,1,3,1,3,1
SpaPetProjeto,com.ada.SpaPetProjeto.service,CustomerService,31,50,2,0,6,14,2,5,1,5
SpaPetProjeto,com.ada.SpaPetProjeto.service,TypeService,0,75,0,0,0,15,0,7,0,7
SpaPetProjeto,com.ada.SpaPetProjeto.service,OrderService,49,112,4,10,9,24,4,9,1,5
SpaPetProjeto,com.ada.SpaPetProjeto.service,AuthenticationService,0,8,0,0,0,2,0,2,0,2
SpaPetProjeto,com.ada.SpaPetProjeto.service,PetService,0,59,0,0,0,16,0,6,0,6
SpaPetProjeto,com.ada.SpaPetProjeto.model,Order.OrderBuilder,57,0,0,0,1,0,8,0,8,0
SpaPetProjeto,com.ada.SpaPetProjeto.model,Order,42,18,0,0,6,3,8,5,8,5
SpaPetProjeto,com.ada.SpaPetProjeto.model,Pet.PetBuilder,83,0,0,0,1,0,11,0,11,0
SpaPetProjeto,com.ada.SpaPetProjeto.model,Pet,62,28,0,0,7,5,11,8,11,8
SpaPetProjeto,com.ada.SpaPetProjeto.model,Customer.CustomerBuilder,63,0,0,0,1,0,9,0,9,0
SpaPetProjeto,com.ada.SpaPetProjeto.model,Type.TypeBuilder,45,0,0,0,1,0,7,0,7,0
SpaPetProjeto,com.ada.SpaPetProjeto.model,Type,22,29,0,0,3,6,3,9,3,9
SpaPetProjeto,com.ada.SpaPetProjeto.model,Customer,33,54,0,0,2,14,4,17,4,17
SpaPetProjeto,com.ada.SpaPetProjeto.infra.security,SecurityConfig,0,94,0,0,0,15,0,7,0,7
SpaPetProjeto,com.ada.SpaPetProjeto.infra.security,SecurityFilter,52,3,6,0,14,1,6,1,3,1
SpaPetProjeto,com.ada.SpaPetProjeto.infra.security,TokenService,56,3,0,0,17,1,2,1,2,1
SpaPetProjeto,com.ada.SpaPetProjeto.controller,OrderController,31,49,5,3,8,12,5,5,1,5
SpaPetProjeto,com.ada.SpaPetProjeto.controller,CustomerController,11,51,2,2,2,11,2,6,0,6
SpaPetProjeto,com.ada.SpaPetProjeto.controller,PetController,23,40,2,2,4,10,4,4,2,4
SpaPetProjeto,com.ada.SpaPetProjeto.controller,AuthenticationController,27,3,0,0,6,1,1,1,1,1
SpaPetProjeto,com.ada.SpaPetProjeto.controller,TypeController,69,3,2,0,15,1,6,1,5,1
SpaPetProjeto,com.ada.SpaPetProjeto.controller.exception,PasswordValidationError,9,0,0,0,2,0,2,0,2,0
SpaPetProjeto,com.ada.SpaPetProjeto.controller.exception,ValidationError,23,0,0,0,4,0,5,0,5,0
